,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),TOTAL DEMAND
342,2022/01/09,16.1,21.9,0.0,2.4,9.7,SSW,30.0,16:34,16.8,69.0,7.0,SE,6,1016.2,20.3,61,1.0,SSW,13,1015.6,3902.16
83,2021/04/25,9.9,17.8,2.6,1.2,3.6,SSW,24.0,19:10,12.8,83.0,6.0,N,2,1027.0,16.0,70,7.0,SSW,4,1025.2,4489.08
241,2021/09/30,13.1,18.1,3.4,2.0,0.4,NNW,24.0,19:50,15.9,93.0,7.0, ,Calm,1008.5,15.2,100,8.0, ,Calm,1004.5,4819.27
383,2022/02/19,13.3,21.9,0.6,6.2,12.4,SSW,26.0,11:58,17.8,52.0,1.0,SE,9,1021.1,20.8,48,1.0,SSW,11,1017.7,3884.0
12,2021/02/13,14.7,20.8,0.0,6.0,4.9,S,35.0,14:54,17.2,68.0,6.0,W,6,1012.8,20.3,58,7.0,S,15,1014.8,4052.84
123,2021/06/04,10.0,13.6,2.0,1.2,2.0,S,37.0,15:23,10.9,81.0,3.0,SW,7,1017.0,11.9,66,7.0,W,7,1018.5,5326.47
27,2021/02/28,10.6,26.7,0.0,2.4,9.2,SW,26.0,22:57,14.0,77.0,0.0,NNE,7,1013.4,26.1,38,5.0,SW,9,1010.0,4064.63
67,2021/04/09,13.8,17.3,6.2,6.4,7.9,S,35.0,03:11,15.2,59.0,5.0,W,13,1010.0,15.7,62,6.0,S,17,1009.6,4539.44
384,2022/02/20,12.7,23.8,0.0,7.2,5.6,SSW,39.0,22:47,16.1,70.0,6.0, ,Calm,1008.7,21.8,66,7.0,SSW,13,1004.7,3879.26
403,2022/03/11,12.0,20.3,0.0,4.6,4.4,SSW,31.0,16:37,16.0,72.0,7.0,NE,6,1021.2,19.9,52,6.0,SSW,11,1020.0,4513.12
326,2021/12/24,11.9,26.4,0.0,6.4,13.1,SSW,26.0,21:26,17.7,62.0,1.0,SSE,4,1015.2,23.0,55,1.0,S,13,1012.3,4066.46
221,2021/09/10,11.4,18.8,0.0,6.2,2.9,N,39.0,22:01,13.3,62.0,7.0,WNW,6,1023.3,17.2,48,7.0,N,13,1019.2,4747.2
282,2021/11/10,11.7,15.2,10.0,5.0,2.3,SSW,26.0,06:04,11.9,98.0,8.0,S,7,1011.4,13.6,67,7.0,SW,7,1010.0,4725.14
402,2022/03/10,11.8,20.4,0.0,6.6,11.6,S,37.0,14:20,16.2,69.0,1.0,SSE,9,1021.9,19.9,56,3.0,SSW,15,1020.6,4331.74
340,2022/01/07,20.1,25.8,1.4,7.8,5.2,WSW,28.0,12:30,23.6,59.0,6.0,NNE,11,1008.1,23.5,83,5.0,W,4,1007.1,4814.57
36,2021/03/09,13.5,19.6,5.4,0.2,6.9,SSE,33.0,14:44,14.2,93.0,7.0,WSW,6,1017.0,18.5,63,4.0,S,15,1018.0,4652.93
